id (N) (P),profit_margin (N),tax (N),phone_number (T),table_1_id (N)
223720,26418,10782,Attack Democrat.,291026
214708,2484,11625,Sometimes agent.,361842
56150,3526,14025,Leg concern science.,197165
450388,18098,28667,Interest fight.,25508
256410,17129,46456,Can degree piece.,257632
189966,45984,38094,Moment wish off.,135103
482068,154,28601,Offer leader foot.,2926
360840,29073,27711,Sea fund available.,466078
169193,3447,33382,Billion message.,171204
303854,4623,18852,Thing building.,315112
323352,30025,37225,Ahead from let run.,9892
140384,30295,33761,Water opportunity.,286217
116138,28554,10946,Drop letter then.,72805
51593,29718,20320,Affect adult lot.,477585
357422,3164,39539,Coach leader image.,467343
269037,33981,43035,Conference will bed.,305673
407577,28612,4783,We eye event best.,457883
254959,43966,45548,Firm argue mind.,191479
452490,6745,29086,Least determine.,392427
388986,41576,29295,Quickly high focus.,158216
409451,18259,23830,Decide cover yard.,5846
339902,10380,13912,Crime politics.,470521
472865,31929,23679,Three four mouth.,325081
293111,20609,4491,Happen brother.,409703
31044,45012,38361,Certainly several.,161935
104650,4257,13765,Certain left.,350066
496184,15538,47092,His note act world.,266557
359536,39662,33749,Black these word.,127043
107541,49120,8056,Newspaper.,170632
162566,24306,15696,Away green your.,270651
99515,49045,5181,Owner never.,88075
314107,49856,33437,Edge herself to.,178980
220130,3011,8815,Religious lot sea.,136458
361704,37582,31269,Argue I future girl.,10871
187580,43842,23125,Recognize coach.,471167
291424,4728,31711,Represent.,341421
374167,5715,37906,Such education.,337547
321388,25851,9776,Why feel gas growth.,29895
234834,36884,9495,Letter catch spring.,286754
334237,46185,27899,Ok special one full.,350299
295242,28761,43861,Road hot source.,237626
88344,45175,36886,Community Democrat.,225753
290494,19119,11527,Happen mouth tell.,166599
55664,46421,48070,Away then eight.,247977
27847,9311,21389,Pass produce people.,173922
32846,31593,40695,Just foreign or.,43178
127501,629,40310,Bed research.,171200
97170,17416,20632,Use research church.,35305
83252,19755,12130,Wish lot when fill.,49098
365286,19119,31367,Hospital.,423004
230814,6739,29269,Training recognize.,402108
276308,48895,49323,Task would prove.,408845
9311,7341,47959,Positive from.,129580
315206,41748,18515,Different education.,390743
31098,25521,8894,Impact war speak.,196012
470426,26694,23668,After themselves.,421844
199579,48328,24219,Discuss door late.,10746
66028,47429,24781,Experience.,436420
497145,20729,32984,Law everybody.,10871
197447,2884,14609,Drug week pay.,312540
312044,15709,25976,Experience specific.,31579
310178,41968,13871,Ten teacher clear.,127137
56883,38198,607,Head city during.,327698
436279,14152,35226,Heart security.,305195
20152,20943,11747,Interesting.,468127
410033,8987,2415,Seem capital also.,42320
417126,39391,34304,Value them.,141638
418938,21495,31536,Myself building.,47680
275505,39653,46291,West voice enjoy.,485291
361922,11065,4024,Themselves practice.,212267
411747,26678,41736,Test which.,426979
456551,3877,29488,Federal prove heart.,421725
353591,45899,7203,Participant spend.,295162
19440,10316,15265,Her beyond doctor.,403698
358699,40090,28425,Company garden dark.,85076
172087,24441,44559,Low dream site.,436033
1310,10163,24210,Happy raise on up.,472720
267769,4957,35661,After resource.,462321
135122,46284,24285,Heavy ahead they.,434776
413057,27360,46868,That begin.,259810
155747,42122,14019,American degree.,384198
366033,16956,41783,News drive water.,450365
201649,14239,29654,Idea among letter.,189112
41934,47866,19266,Wife plan laugh.,263443
37348,1736,8658,Bar prevent economy.,301369
359628,10890,38122,Travel character.,57060
257750,19053,14376,Open report his.,256290
134835,41271,37495,Record throw.,56800
92443,5596,8425,West explain cut.,108978
48735,35028,40236,Beautiful produce.,129767
246401,5885,22058,Out case involve.,178774
52421,46984,32645,Skill student guy.,273193
214423,22233,22189,Style from fight.,371465
204994,43550,11427,Detail Congress.,389461
433509,39949,12456,Cultural next.,336463
183948,31779,13184,Republican drug.,23115
22415,13339,17547,Special art small.,269544
153478,19481,45911,Blue rock could.,119159
341457,38622,6891,Almost treatment.,95305
219582,5299,32921,Machine daughter.,472422
75052,49910,18152,Campaign entire.,107787
38693,17889,11270,Push how available.,425664
286238,3249,9778,Public war the long.,430576
265226,25145,18771,Trade research.,262964
218927,49883,45519,Image pick maintain.,284197
117416,38397,22492,Speak apply health.,237376
193893,12812,8205,Newspaper suffer.,157389
383000,37570,46904,Guess pattern argue.,175146
137636,43502,7893,Control single eat.,375305
423158,35607,37530,Recognize toward.,294078
431320,40822,48142,Note later trade.,260641
480925,44503,26635,Part sound mother.,434614
50040,11041,6911,Best rule join.,394563
31950,10318,29693,West painting town.,47338
479549,29451,28370,Indicate radio free.,60244
324747,47834,12422,Bit study actually.,439361
94505,40623,22985,Statement great.,334539
67937,44706,25235,Ball rock fish idea.,192164
92299,39510,40359,There best.,4221
458390,33718,14109,Throughout friend.,424666
251652,28077,30871,Instead itself team.,444229
327999,10252,34881,Often community.,31332
174149,20378,2555,Ask event quality.,279595
340388,2427,9853,Nation positive.,201110
389760,40196,9417,Music why name from.,34373
271078,44813,3059,Cup various student.,296342
32194,38128,47980,Decade American.,186590
74180,7148,2180,Approach Republican.,41980
17039,13024,48028,She resource live.,392021
142194,39297,10843,Specific cultural.,90452
466897,27040,31015,Operation child.,147700
123989,38269,48170,Hold speech must.,388441
47535,23930,38993,Red develop mention.,320584
218944,3636,3480,The rule to finally.,248350
198211,18810,35850,Near also open.,386607
213627,31927,40933,Apply he trial.,203631
251463,21123,3304,Radio one should.,436385
476978,5964,41198,Business personal.,86583
326700,39203,17507,Try again include.,226189
74261,125,39711,Participant over a.,177255
424167,43947,34174,Air charge up.,449212
107927,9375,42590,Dinner former any.,83765
195110,43879,30345,Foreign rich town.,87576
205483,10763,11771,Property this.,407178
338429,27226,33061,Trip state budget.,341568
390685,42526,29842,Bill true moment.,363445
131329,4408,46459,Situation quality.,1463
319513,17749,16171,Source maintain.,404945
214454,34633,13604,Score somebody.,121338
391930,49133,47858,Modern big walk.,414809
250349,31704,44050,Choose those only.,3415
216020,40826,5234,Rest speak station.,297528
132772,7149,42630,Recognize continue.,168717
430613,44158,49651,Its together.,120123
133208,19702,38182,Window write side.,455028
230041,31461,33827,Between rich major.,333103
110594,23970,28404,Keep order customer.,305797
34910,29876,39814,Simply center.,12415
30625,24391,29905,Son unit agent.,196624
273912,41248,14840,Table four eight.,498646
27283,48543,36581,Her dinner.,295255
106446,37214,39735,Language your guess.,142440
113294,1926,41738,Air until child.,233712
209140,6385,36300,Mind imagine leave.,368495
170613,29231,47288,Section mouth out.,258802
241920,28405,44103,Yeah message wrong.,353218
48510,875,1890,Wall black.,395547
492302,42495,49858,Partner still.,87962
47073,44739,46572,Town near another.,172979
239820,29869,39462,Eye kid now.,285211
3579,36210,34635,Carry majority a.,223944
458369,15466,8356,Moment federal pull.,62653
218454,8659,48821,Determine fly.,238468
24431,30966,9310,Material management.,183561
70217,4169,2683,Expert public.,263717
223119,33716,30948,Son direction ahead.,65097
480544,49614,23692,Third process.,261965
80906,26003,3050,Section risk lose.,421934
71168,25018,12040,Process might real.,265610
457918,17885,2661,Pay morning.,303213
449925,47724,28688,Know gas player.,86398
420281,22042,18967,Think onto from.,252834
262987,18617,44056,Better indicate.,230137
179718,6579,5249,Ask less mouth also.,92017
272554,15739,7240,Threat talk involve.,363646
457486,230,44659,Determine wonder.,231766
57868,32139,8650,Star where civil.,49078
280596,14620,15661,Treatment TV decade.,437844
114500,40543,28500,Century indicate.,489763
450901,38566,43007,Five society.,100396
460735,23030,42922,Member have company.,189300
287068,7445,40806,Necessary tax.,62749
412461,23680,33981,Oil trouble detail.,403283
338588,45457,45933,Town get let lose.,144823
445374,16545,5411,Around result.,241178
147046,40982,37591,Beautiful many show.,247299
143900,33238,39664,Turn itself happy.,305256
382358,33360,12480,Paper almost help.,120647
253743,48344,5534,Condition.,378876
97048,26208,28410,Carry who quickly.,176571
190401,213,6958,Big cause again.,100026
39299,40572,25681,Its say own same.,16490
172940,34052,13814,Dark put road.,453597
129549,14843,2524,Also energy look.,383264
252648,32190,42496,Former not arrive.,373211
386779,1647,36814,Sing space drop.,37366
215481,3782,43658,Than inside light.,371326
245025,40987,25123,Whole drive strong.,490912
190902,42388,47931,Down Mr three free.,232007
389121,21096,22208,Set training worry.,446468
194398,25916,35747,Late window enter.,346646
236518,5950,40677,Game one from throw.,280451
445147,25727,16293,Meeting executive.,112497
70282,37028,34619,Pay option dog.,368339
498173,25543,10463,Partner democratic.,340689
82055,45453,5968,Almost quite sit.,268410
113258,17083,18988,Choice attack.,384696
8508,45834,12211,Long allow nice.,468288
129849,32505,5660,Soldier style money.,22104
162783,13972,22242,Ball actually watch.,98523
303951,9869,47240,Be wish pull.,213653
158241,44393,16724,Hot box before.,286584
305430,36431,29293,Us nearly system.,14025
356633,37733,6610,Different girl.,264250
325218,26012,26768,Boy ago own lay one.,348815
326241,31729,5518,Live quality box to.,123940
356976,15420,17062,Radio able main.,210986
176565,15403,43583,Then sport recent.,48524
70060,30456,12617,Close side every.,423004
141160,46319,14108,Glass hour official.,152234
471351,2131,48330,Local price by.,336313
372458,34552,40558,Staff hospital.,136911
111341,32709,39137,Happy control party.,42145
118999,13783,10178,Free prepare.,369512
96165,34316,30498,Peace car five.,144293
228513,34673,33147,He go scientist.,420116
241138,40862,15270,Friend sea field.,202051
175518,3722,41053,Natural theory.,361044
252914,49982,30364,Address marriage.,483386
462454,43539,32946,Kind of call.,443965
23187,9144,28789,Citizen shake.,87962
104318,28069,41693,Us night ago.,428571
131383,35543,29537,Better fund not.,421906
355947,8475,34944,Bill play senior.,143666
4730,32265,18974,After dream.,415624
271442,41854,10100,Least position age.,260027
214347,6576,40638,Wife sound speak.,478909
44963,33156,43243,Drop quickly year.,301600
197046,4159,33235,Nor trip glass.,407905
417831,35194,28685,Message number nor.,431651
60526,29084,48665,Quickly laugh.,161251
244629,40448,43961,Attention over.,199284
441635,15255,42404,Only crime.,348296
80015,22653,14930,Ability wife oil.,469541
498057,18681,33566,Experience note.,494944
419684,34804,49711,Have natural woman.,135977
182152,33202,32487,Young be least.,316896
27463,26659,17517,Everybody turn.,263353
84514,35105,35462,Treat approach able.,87394
147494,28069,14273,Against do almost.,271241
163293,40950,40622,Gas our raise.,257214
193906,34233,6143,Good certain assume.,2600
454611,2118,27629,Analysis rule.,452160
274467,43261,19461,Various toward.,46494
336873,43411,16975,Join imagine myself.,307009
219828,26851,18128,Remain six minute.,494779
420683,48107,28884,Service clear tough.,303088
243751,45468,46074,Good above about.,448923
474580,6672,33799,Discover part.,395599
351066,20531,21244,Blue hotel receive.,313490
497005,46654,30569,Year like ready.,321471
153514,21058,11438,Even language space.,28433
291110,12044,15859,Late society unit.,388628
499024,16308,12971,Threat page popular.,43675
302186,38021,33821,These treatment.,63085
419904,2679,29660,Worker land total.,223188
87857,136,19033,Blue ready likely.,294862
149354,45292,5027,Character check.,420608
38327,15172,37679,Expect she note.,417453
33423,24547,8898,History these reach.,311500
365871,37943,14362,President many five.,280053
350403,8786,2564,Method increase.,89370
231280,34187,41805,Five of executive.,107293
156031,9498,7521,Usually perform.,208750
364205,29316,21400,PM dream physical.,446053
200194,14315,2013,Born election these.,178071
333535,13659,47566,Front friend leg.,36434
66607,38988,24024,Thank go suggest.,27830
434797,45341,28028,Western television.,368190
402034,29385,6182,Meeting present.,217511
289911,24159,43273,Place movement.,356607
205322,48714,14914,Themselves voice.,499885
6002,17159,2306,Theory policy heavy.,49763
58309,11552,45686,Serve bank cover.,7862
376735,22293,35374,Quickly they.,133432
477258,8589,24448,North after often.,460886
292614,22165,48340,Five radio rise.,435377
6233,15649,12871,Family bank book I.,317043
391615,47840,42121,Morning chair floor.,93320
54589,5626,2817,Science eat.,30271
364250,7899,48972,Site thousand show.,160150
14616,20850,32581,Hope simply address.,91561
345685,7077,20137,Foot impact.,77215
32948,7889,35027,Like success meet.,22207
312717,33242,47706,Find he feel beat.,359165
62754,28471,43505,Artist foot owner.,193237
263234,27696,20089,Have become right.,415620
229442,36119,44378,Identify word drop.,162728
418774,44806,34067,Performance thank.,201639
473718,37267,46666,Ask rise structure.,70262
252148,30306,40732,Gun teacher upon.,332250
4861,31813,44638,Moment only use.,273984
492781,33254,10430,Throughout fly.,314314
279768,12341,463,Trouble past state.,377271
325823,9404,17246,Range big their.,96829
238898,16133,32513,Unit though mean.,273962
221539,23602,22218,Great ten sense.,365977
354933,37196,4831,West idea girl.,123093
187548,31007,43998,Member hospital.,348123
243287,26331,29656,Try drop phone.,127267
334864,10106,37570,Within make prepare.,198989
36354,44834,1477,Team court room.,285062
105221,39538,34351,Sport increase.,14373
448440,48429,8844,Never street.,189994
113689,38822,28492,With particular.,407116
14639,49391,43701,Ago southern.,209137
417721,23847,20192,Day need forward.,340268
471647,3344,48270,Remember again thus.,35076
395110,42519,43844,Current simply.,285062
78021,35929,4813,Edge service.,223392
436171,41913,11760,Again enter by here.,43638
247222,40348,32390,Usually enter bit.,377986
102458,13891,18378,Try born couple.,195194
476963,40841,36517,Claim speech life.,446543
188796,23454,30038,That thank mind.,85096
10746,21491,35015,Fill security.,52459
349065,4324,24840,Consumer I imagine.,428576
404215,3880,6647,Five meeting soon.,452871
133686,5092,15388,Page seven bit the.,131744
289819,40036,16524,Word region data.,233227
200785,48311,16202,Magazine sound.,87958
297512,28765,2853,Expect school.,176997
466893,5293,4573,Significant church.,143797
369268,40855,30936,Sort produce even.,359326
306363,15633,27796,Throw sit.,124971
404449,48215,21722,During stage edge.,363692
396439,20640,28992,Agree fact.,30306
396241,15587,26145,Trip plant.,429207
43677,36254,10336,Charge break many.,437388
428938,34327,11549,Plant lawyer.,48204
328789,46057,37677,Probably season.,70639
358298,49808,25874,Fish also event.,252454
350930,48904,17712,Gun top ago result.,13574
366372,44145,23620,Return machine.,286619
157153,46295,37089,After share board.,393944
96036,31389,15113,Hard guess her nice.,40392
354015,42543,37477,Rest sense society.,419409
282064,41142,8464,Car surface vote.,84603
175630,16961,4010,Politics economic.,420608
293797,42498,6896,Open brother.,483513
21886,36309,38525,Difficult expect.,156261
280667,43409,17918,Growth boy send.,70544
39798,20380,3441,Small same glass.,198220
344509,22596,44620,Night common ground.,224109
162555,47533,39186,Sell financial or.,129768
142020,33438,34585,Or move when bad.,359490
265975,48176,26749,Child oil miss.,402160
238734,31016,15526,Professor near less.,269216
24599,36207,48513,Ok sometimes Mrs.,382184
123101,26889,30627,Court name what.,262487
407787,28998,8589,Reduce minute.,348121
439215,24073,29861,Start rather.,310484
103999,32256,14866,Next gun hard nor.,277079
270213,30251,34541,His involve any.,338717
114578,26873,5682,Heart open answer.,475444
372908,13604,28997,Enough single raise.,418011
436614,2606,38577,Establish street.,24709
336408,26035,33416,Ago eat course.,272089
201660,7754,33764,Read state there so.,184696
485391,30406,41554,Significant itself.,134179
456151,18179,911,Detail none bank.,483357
6039,36023,3351,Idea send along.,222184
349739,46560,19785,Assume billion thus.,94043
352074,48849,418,For imagine word.,25155
270830,35938,1812,Cut make read.,24318
141753,28862,15115,Right long stuff.,258382
155167,28175,38752,Site imagine light.,285616
42944,49279,2796,Forward wind.,496962
26867,49550,38369,Pass experience.,278500
398833,24793,23957,Inside interview.,314383
311106,4949,9434,Computer plan model.,19391
241940,7068,41429,Whose claim head.,234848
496176,17529,35856,Far sing.,419700
264221,21286,41530,Cell minute those.,362088
36309,41988,45451,Despite foot itself.,261978
141274,46076,335,Indeed somebody.,133657
306593,7031,29936,Hot help task prove.,278378
258591,35931,33288,Nothing energy.,204671
271037,30760,36166,Practice past ok.,110658
481468,31096,41548,Say author industry.,323400
206381,43185,31421,Certain finally.,178629
350776,42750,46766,Benefit everybody.,219679
366958,49506,37218,Wall policy east.,392720
284093,31565,5280,Occur either.,376715
159696,35957,5673,Day federal child.,92309
433684,16283,39106,Out season no.,365722
100051,28700,17564,Determine reach.,271606
105155,21447,36472,Husband natural.,494779
251566,40082,14564,Base include foot.,484668
266945,12601,18370,Player treat detail.,87136
227866,27064,27475,Carry give west.,103695
150467,35703,36062,Information focus.,329479
148796,6052,9780,Leave officer.,56834
177326,28336,2286,Participant cup.,455272
102075,28170,23863,Short decide.,308566
260149,33520,42557,Along huge head.,33092
497063,35853,40524,Hold next dinner.,477179
369671,34803,14966,Then media service.,171631
452997,42326,16898,Run difficult.,344678
425067,12345,7389,Reveal across seek.,25183
394309,13670,11190,Energy person drive.,268148
134003,31317,13626,Tell mean water.,362943
234738,19581,8235,Past Democrat.,321346
137192,608,32753,Loss father phone.,114752
193167,39365,4493,Pull ready nation.,446086
458921,16018,5784,Must wish last.,444660
437078,12643,39641,Laugh thus against.,12507
293518,34747,29382,Old some six west.,268937
92414,8079,18849,Imagine born fly.,237084
15199,45211,38318,Catch civil least.,156472
186571,39209,4490,Because business go.,77427
59751,41704,47209,Sense only across.,321184
365978,7504,43858,Whole situation.,103959
494851,25896,17777,Modern face scene.,159906
9108,26490,48989,Little base truth.,456189
33212,49890,47733,Yard about seat.,30742
156482,35979,31342,Dog loss pull.,377594
131541,13987,22914,Modern staff Mr guy.,51910
422705,10718,49492,Another side thing.,457865
123264,1066,3007,Leave hair line.,207987
30836,35371,33603,Budget free word.,300034
432406,24008,577,Perform have sense.,419966
177563,14202,7418,Ok play dream.,289221
220248,18676,44092,Same great prepare.,226093
316571,21203,34779,Nor then collection.,462855
347187,36634,27839,Cut per yard.,423195
394660,24603,38770,Mr and be simply.,257531
313238,48800,41280,Reason reach set.,262733
17962,3563,38466,Follow discover.,237736
264613,46417,49067,Former table accept.,320593
169379,9151,11282,Set too bed.,402076
175216,38916,36109,Rise dream win put.,376399
234216,21531,45448,Glass far first.,272754
330341,9152,11993,Well too choice.,428338
443155,14684,25753,Long cold within.,83601
84217,34441,1935,Commercial issue.,58131
206194,10744,38465,Continue rock ten.,79870
279817,14774,33827,Skin approach.,5057
332822,11098,32735,Young husband.,238365
462864,47989,35559,Issue season sister.,219313
100156,18351,41617,Rest authority.,23969
80744,39025,36421,Later itself.,388628
123261,36848,46059,Method shake tax.,464112
328353,34799,24967,Art admit.,329089
119495,32452,15207,Role able small.,1401
167678,4091,37458,From your my.,331057
120966,23749,40754,Anything effort.,308620
89222,3113,27925,Yourself throw girl.,259692
477631,42835,22525,Professor.,350990
188913,28829,10335,Offer catch country.,262596
80985,46276,186,Service store mouth.,454418
464943,48406,33385,View citizen.,332235
409515,19802,39987,Agreement start.,66702
356259,32861,26251,Behind middle near.,340115
79567,22286,45184,Yes wide scientist.,291155
353020,40454,11172,Recent he security.,213161
91354,8305,8906,Window above if.,236711
246111,11368,43986,During sell example.,289952
421205,32679,27077,Movie color past.,472900
397984,38180,10925,Property anything.,236106
216265,11706,39158,Fast pick machine.,386162
263308,2253,38448,Deep fire today.,410682
177748,28748,7291,Power speak new.,465568
178503,41070,13996,Nature poor couple.,483357
219303,22329,47858,Specific without.,136435
103512,21388,39399,Section discuss.,486749
350377,47285,43307,History want weight.,347396
92178,18419,44450,Outside front.,273820
205608,11071,42898,Last anyone skill.,420335
302905,49042,3626,Player short.,404963
365017,19681,40418,Financial product.,75804
323709,115,26046,Important condition.,431549
81708,7400,43097,Turn office break.,265991
425386,47290,42181,Seem figure.,446053
163725,17814,47014,Run above according.,498108
421829,7075,22631,Development woman.,119051
352009,2788,9132,Former bad pull.,424004
107795,9233,5105,Long including.,153743
195069,29749,7294,In under as clear.,494794
301314,13250,43046,Next into.,290460
439401,9485,49692,Race authority they.,20772
302502,3177,48208,Street never parent.,415253
45342,6834,1657,House finally.,201760
402488,36365,29385,Allow key see level.,486441
487810,25846,39905,Prevent work office.,428552
114004,28538,34612,Fear generation.,97008
321104,7964,4755,View appear crime.,417477
58338,2954,23828,According leg.,374182
294806,25706,42215,Congress discover.,207415
191808,21195,29965,Not debate project.,473186
399429,43030,42955,Foreign direction.,136136
285734,24132,3859,Large night law his.,278346
402850,19703,19124,Garden in available.,45685
392009,17410,5687,Final draw Mr own.,80765
420743,14653,8812,Per ability hot be.,72793
87195,4160,27926,Hard reveal walk.,195480
166986,27167,22962,Program coach.,390374
190865,14648,32829,Never challenge.,337022
175015,28073,25738,Reflect exactly.,347022
81719,48668,43516,Quite star after.,257948
26916,18720,29295,Seem large size.,337199
431881,32268,34673,Page need pretty.,223658
424438,23381,31611,Require music case.,123069
179311,40291,8513,Case doctor meet.,21731
50552,13056,46292,Begin push evening.,479288
154665,2970,19384,Run test car.,462059
475822,20676,10617,Wind offer eat.,426245
395381,1674,15116,Director threat.,364577
187696,11447,10388,Economy leader.,160786
452078,29809,1177,Until although skin.,117874
304450,41371,1470,Interview coach.,62527
440616,44336,11492,Early usually hard.,140253
130214,46961,39129,Chair assume.,383406
332714,13596,20476,Set them condition.,182470
352546,45592,25284,Situation hold.,253256
274352,13286,24998,According health.,290908
71013,34047,40056,Discuss recent.,303445
186081,26384,26102,Early society yeah.,231053
219204,42741,49524,Later food energy.,423690
170368,25099,27109,Successful common.,253000
214658,17674,21990,Decide sell woman.,302875
337914,38799,211,Financial movie.,16672
348639,30374,11043,Safe vote go fine.,204856
98240,38224,36783,Usually wind his.,495671
258141,48973,45042,Ok top debate chair.,256665
15554,48398,25210,Measure green race.,142025
18724,43776,11854,Respond machine.,17563
171296,46859,37381,Old born their fire.,201294
173143,29263,32993,Thank wear mean.,464263
292361,49742,6979,Risk improve charge.,140679
237600,25480,16448,Security issue.,42359
348672,30291,18990,National view line.,341292
470831,38296,14122,Reduce successful.,350039
280618,45418,22393,Born allow you only.,284274
246416,47426,16450,Alone book return.,356771
82104,5339,40768,Data health hot.,261741
48605,33046,34097,Few current.,881
3627,25683,7760,Approach difference.,398435
235286,37576,25490,Thank before.,281666
380185,6172,33529,Ball someone.,209066
30798,35616,48514,Herself participant.,430089
429541,1556,45608,Fill sit PM guess.,20495
478416,19638,23675,Full star and win.,273567
191352,49190,36200,Second manager.,11517
448544,13,33945,Mention old least.,358779
361907,18783,4041,Drop message.,301653
78818,20686,20549,Human crime beyond.,329114
176273,3242,737,Practice seat.,473073
402233,6054,31128,Time option believe.,254385
152789,2164,24377,Morning suffer.,301864
228798,21954,43188,Report economic.,272284
160777,3328,15411,Season price box so.,416465
398072,6220,14429,Already town.,478861
233807,18185,2761,Ten politics.,473382
181559,48904,16394,Yet listen six.,74312
349816,20316,43491,Might need field.,11927
8921,44140,8285,Speech instead.,385968
265314,12963,31844,Work if person.,396248
454543,7300,25048,Time instead learn.,48974
477542,226,7135,Where even sure say.,335048
59940,24248,48413,Pattern time call.,21438
348415,22233,2220,Drive for yes.,174595
100360,1018,46885,Anyone entire.,438249
284603,11900,35739,To believe remain.,10302
451861,18021,15734,Prepare city school.,410635
232599,19061,12232,Score since man.,45929
392521,8370,28326,Close already save.,243099
66037,904,44553,National whether.,52899
483861,32142,4325,I power just past.,3383
432330,49396,9979,Citizen material.,435997
104399,20021,32564,Skill mouth defense.,480477
476533,21171,5480,Price despite cost.,388633
210315,7050,34132,Team business.,342686
408267,14593,39058,Picture agent catch.,263688
287485,664,16421,Similar blood.,495009
102067,34134,26067,Wind phone chair.,346344
369790,15815,36168,Each option within.,45291
341084,35766,19157,Plan career.,119446
448109,34331,43793,White place if drop.,340704
321594,28415,9508,Range would.,116744
263896,31975,38313,Society whose along.,238783
389279,25439,19232,Use bag fast no.,165250
207677,46810,37224,Join rest there.,385673
235205,8603,208,Team theory manager.,177081
259238,5512,6319,Wind themselves.,456043
234373,41235,27054,Answer mean season.,242286
102627,39537,7533,Course real.,173406
140221,21884,29531,Growth guess fast.,250453
152209,25184,7584,Economy us best.,76855
333718,11706,43625,Floor rich lawyer.,230816
144094,14709,4041,Store since reveal.,376330
241391,21051,47606,Leader play less.,179499
309211,48770,14670,Garden financial.,35265
374799,14347,32956,Moment anyone leg.,12576
418381,45402,28049,Nor prevent effort.,313308
286392,41686,12758,Number.,497455
163136,10411,47597,Month security.,8593
60045,45016,955,First treatment.,167492
478540,43526,26886,Forward interesting.,198060
461964,8973,24663,Cell allow five.,249131
57795,10257,10630,Behind one section.,299826
405079,13131,8431,Thing deal entire.,129949
212494,3433,44787,Above yeah.,321528
417121,32081,23328,Brother player.,242641
16911,8094,9059,Attorney and model.,159427
418891,45922,1631,Despite eight hand.,114725
476582,49702,48892,Resource agreement.,193496
363438,32766,27070,Person process race.,97824
49931,6213,16995,Rather show others.,195264
204497,22701,46736,Role moment.,300270
21917,8657,16771,Cold coach for she.,22391
165371,36148,23766,Would from rule.,204841
74527,32123,13590,Receive live whom.,488920
357866,10534,49313,Forget today read.,96591
464258,33843,46875,Government best.,2334
386623,43982,33649,Market during.,368275
448260,37835,47268,Too trade they.,155798
29403,37341,19436,Bag enjoy us.,213389
449577,14354,23128,Friend feeling.,150087
410223,15820,38328,Themselves book say.,324107
376402,7030,8662,Several remain bad.,68038
75326,11111,2561,Must whether wife.,49479
399432,41534,23938,Floor science.,81121
32401,14505,28000,Realize someone.,322636
70532,34877,17066,Describe able call.,489431
481560,33272,30928,Western particular.,472640
88559,40657,33896,Worry exist try.,269026
202564,23771,33343,Stuff international.,278140
340840,26053,32100,Learn agent improve.,441327
153272,23167,20164,Dinner like.,327407
4699,38042,8845,Go treatment.,177414
48176,4644,33973,However exactly.,144938
259307,44264,44539,Red scientist.,69844
130831,27123,18138,Teach student seem.,349579
374348,37080,47378,Table answer wait.,325563
235911,49612,25804,Population continue.,54840
306053,48863,48006,Baby spend.,297366
290130,4367,2450,Often our option.,321410
427531,35414,40229,Ability class.,413885
61171,8022,5174,Finish trial fine.,147743
444342,22452,31031,Right fact building.,481615
385747,33619,47162,Radio eight small.,97516
87260,49116,13800,Create why very.,162984
346618,38942,39474,Cultural product.,231682
57074,8231,48123,Hair Republican.,446483
32587,48940,30742,Scene analysis.,262409
471566,2733,48682,Suffer hard about.,265799
134486,47454,13508,Just specific.,211606
407268,24580,40094,Politics help.,35269
332835,16450,34592,Sure design I list.,197662
295873,39175,14876,Laugh fact federal.,31779
323692,27687,42668,Green air you.,330257
454674,10581,46650,Bad bill throughout.,25044
193868,40319,26673,North figure.,95578
481835,43630,45311,Large prevent tell.,218509
194464,21669,37808,Feel help until.,265353
134081,4621,22661,Better off defense.,450366
296146,47416,48838,By mention sea.,120755
362469,38576,5478,Mr generation.,76059
361551,39303,7712,Whatever show.,334835
8183,6042,7266,Once final thousand.,381201
108543,23354,1140,Beautiful fact.,349115
289544,17459,2756,Relationship cover.,487947
449034,25985,30603,Marriage theory.,461272
201112,35688,47085,Affect dinner large.,31132
100348,49559,32292,Training military.,228010
120847,44398,34314,Campaign strategy.,68982
347448,16132,38560,Process center.,257677
435342,45448,41678,Fish some concern.,348107
9706,26335,3067,Magazine sit third.,431334
461919,30909,43828,Most stop focus.,2598
455798,5111,20154,Trouble game.,241209
486857,15499,28172,Money suddenly skin.,490083
99592,21039,7457,Child high race.,222211
116375,24668,22897,Including.,441844
351702,4718,42357,Hotel career dream.,485934
474597,8934,31517,Health economic.,325017
447393,37587,17755,Today fact hold.,450986
147816,43851,33578,Degree arrive pay.,438483
20782,11725,30209,Behavior computer.,411172
370325,38943,14519,Sort thank hard.,443594
313801,18406,21289,Hold for heart.,390768
179200,37943,13065,Thank year blood.,247635
43150,29552,36797,Become may son air.,87967
283740,14559,19186,Performance trade.,191378
144233,40269,9874,Goal situation.,313980
54486,7284,14958,Letter through.,135462
108131,49864,1448,Wear piece letter.,70415
129466,20657,37755,Produce ago.,334510
212231,11496,21093,Fear art economic.,200008
457596,27430,17793,Age court human.,43505
251928,2498,30409,These table week.,400096
77937,14729,31938,Through message in.,381398
193924,19710,1592,American treat.,412836
56847,13452,7039,Hair two reach.,10911
173775,38878,27018,Receive fire.,453035
30570,15568,43473,Main wear painting.,231760
189752,36370,2584,Specific executive.,466229
406471,37092,22020,However any choice.,136073
361466,29337,42138,Simple must power.,454971
461800,15280,16442,Teacher shoulder.,138093
413193,18786,26566,Away nation others.,441305
